LOCATION,CRL,MARL,NAME_CR,NAME_MAR,NAME_ENGLISH,IN_ROUNDEL,IN_COMMENTARY
L073,CRL067,N/A,Urbs Legionum,N/A,City of Legions,N/A,"CRC033, CRC072, CRC053"
L074,CRL068,N/A,Aclud,N/A,Dumbarton,N/A,CRC039
L075,CRL069,N/A,Kaerlud,N/A,Kaerlud,N/A,CRC047
L076,CRL070,N/A,Lundene,N/A,Ludene,N/A,CRC047
L077,CRL071,N/A,Porcestr[e],N/A,Porchester,N/A,CRC050
L078,CRL072,N/A,Hampton,N/A,Hampton,N/A,CRC050
L079,CRL073,N/A,Claudiocest[rium],N/A,Claudiocester,N/A,CRC050
L080,CRL074,N/A,Colocestria,N/A,Colchester,N/A,CRC059
L081,CRL075,N/A,Constantinopoli,N/A,Constantinople,N/A,CRC060
L082,CRL076,N/A,Aelestrem,N/A,Aylesford,N/A,CRC063
L083,CRL077,N/A,Genorem,N/A,Genorem,N/A,"CRC070, CRC069"
L084,CRL078,N/A,Almusbery,N/A,Almesbury,N/A,CRC071
L085,CRL079,N/A,Men[euia],N/A,Menevia,N/A,"CRC033, CRC072"
L086,CRL080,N/A,Roffensus,N/A,Rochester,N/A,CRC075
L087,CRL090,N/A,Salop,N/A,Shrewsbury,N/A,CRC121
L088,CRL092,N/A,Cester,N/A,Chester,N/A,CRC121
L090,CRL096,N/A,Darby,N/A,Darby,N/A,CRC127
L091,CRL097,N/A,Cantibrigie,N/A,Cambridge,N/A,CRC133
L092,CRL098,N/A,Semaar,N/A,Shinar,N/A,CRC001
L093,CRL099,N/A,Cornubia,N/A,Cornwall,N/A,"CRC058, CRC031, CRC071, CRC014, CRC032, CRC023, CRC072"
L094,CRL100,N/A,Judea,N/A,Judea,N/A,CRC017
L095,CRL101,N/A,Saxonia,N/A,Saxony,N/A,"CRC063, CRC044, CRC066, CRC068"
L096,CRL102,N/A,Westsex,N/A,Wessex,N/A,"CRC063, CRC072, CRC079"
L097,CRL103,N/A,Midilsex,N/A,Middlesex,N/A,CRC063
L098,CRL104,N/A,Vasconia,N/A,Gascony,N/A,CRC072
