ROUNDEL,LINE,TRANSCRIPTION,TRANSLATION,HAND
CRN353,#1,Selby,Selby,Lancastrian Scribe
CRN354,#1,Kewynus,Kewyn,Lancastrian Scribe
CRN355,#1-2,Serdic,Cerdic,Lancastrian Scribe
CRN356,#1,Kynrik,Cynric,Lancastrian Scribe
CRN357,#1,Chelyng,Ceawlin,Lancastrian Scribe
CRN358,#2,Cheldric,Celdric,Lancastrian Scribe
CRN358,#1,XLI,XLI,Roman Numerals Scribe
CRN359,#2-3,Cheolwolf ,Ceolwulf ,Lancastrian Scribe
CRN359,#1,XIIII,XIIII,Roman Numerals Scribe
CRN360,#2-3,Kyngils xanus ,Cynegisthe Christian ,Lancastrian Scribe
CRN360,#1,XXXI,XXXI,Roman Numerals Scribe
CRN361,#2-4,Chenwalt quem occidit penda ,Cenwealh who was killed by Penda ,Lancastrian Scribe
CRN361,#1,XXXI,XXXI,Roman Numerals Scribe
CRN362,#1,Escwine,Æscwine,Lancastrian Scribe
CRN363,#1,Kenwyn,Centwine,Lancastrian Scribe
CRN364,#1,Cedwalla,Cædwalla,Lancastrian Scribe
CRN365,#2,Ine,Ine,Lancastrian Scribe
CRN365,#1,XXXVII,XXXVII,Roman Numerals Scribe
CRN366,#1,Athelardus,Æthelheard,Lancastrian Scribe
CRN367,#2,Cudredus,Cuthred,Lancastrian Scribe
CRN367,#1,XXVI,XXVI,Roman Numerals Scribe
CRN368,#1,Sigebius,Sigebert ,Lancastrian Scribe
CRN369,#2,VWynwolf,Cynewulf ,Lancastrian Scribe
CRN369,#1,XXXVI,XXXVI,Roman Numerals Scribe
CRN370,#2,Britrith ,Beorhtric ,Lancastrian Scribe
CRN370,#1,XVI,XVI,Roman Numerals Scribe
CRN371,#1,Crida,Crida,Lancastrian Scribe
CRN372,#1,Wirpa,Wirpa,Lancastrian Scribe
CRN373,#1-2,Cheorlus,Cearl,Lancastrian Scribe
CRN374,#1,Penda,Penda,Lancastrian Scribe
CRN375,#1,Penda,Penda,Lancastrian Scribe
CRN376,"[1] #2, [2] #4",Edelred  postea monachus,Æthelred [reigned]  years and was later a monk,Lancastrian Scribe
CRN376,#1,XIX,XIX,Roman Numerals Scribe
CRN377,#1-2,Kenred  postea monachus,Coenred [reigned]  years and was later a monk,Lancastrian Scribe
CRN378,#1,Ceolred ,Ceolred ,Lancastrian Scribe
CRN379,#2,Adelbold ,Æthelbald ,Lancastrian Scribe
CRN379,#1,XLI,XLI,Roman Numerals Scribe
CRN380,#1,Beornred ,Beornred ,Lancastrian Scribe
CRN381,#2,Offa ,Offa ,Lancastrian Scribe
CRN381,#1,XXXIX,XXXIX,Roman Numerals Scribe
CRN382,#1,Egfred ,Ecgfrith ,Lancastrian Scribe
CRN383,#1,Kenwolf ,Coenwulf ,Lancastrian Scribe
CRN384,#1,Cealwolf ,Ceolwulf ,Lancastrian Scribe
CRN385,#1,Beornwulf ,Beornwulf ,Lancastrian Scribe
CRN386,#1,Ludecen ,Ludeca ,Lancastrian Scribe
CRN387,#1,Wilaf ,Wiglaf ,Lancastrian Scribe
CRN388,#1,Ella ,Ælla ,Lancastrian Scribe
CRN389,#1,Scissa,Scissa,Lancastrian Scribe
CRN390,#1,Edelwold,Æthelwald,Lancastrian Scribe
CRN391,#1,Adelbryth,Æthelbrith,Lancastrian Scribe
CRN392,#2-4,Egbrutus,Egbert,Lancastrian Scribe
CRN392,#1,XXXVII XXVI,XXXVII XXVI,Roman Numerals Scribe
CRN393,#2-3,Edwolphus ,XVÆthelwulf ,Lancastrian Scribe
CRN393,#1,XVIII,XVIII,Roman Numerals Scribe
CRN394,#1,Edboldus ,Æthelbald ,Lancastrian Scribe
CRN395,#1,Edelbrith ,Æthelbert ,Lancastrian Scribe
CRN396,#1,Edelred ,Æthelred ,Lancastrian Scribe
CRN397,#2,Alfredus ,Alfred ,Lancastrian Scribe
CRN397,#1,XXX,XXX,Roman Numerals Scribe
CRN399,#2,Edwardus ,Edward ,Lancastrian Scribe
CRN399,#1,XXVI,XXVI,Roman Numerals Scribe
CRN400,#1-2,Nobiles filie,Noble daughters,Lancastrian Scribe
CRN401,#1],Alfredus,Alfred,Lancastrian Scribe
CRN402,#1-3,Edwydus qusubmersus est,Edward who was drowned,Lancastrian Scribe
CRN403,#1,Edredus,Eadred,Lancastrian Scribe
CRN404,#1-3,Sanctus Edmundus,Saint Edmund,Lancastrian Scribe
CRN405,#2-3,Athelstanus ,Æthelstan ,Lancastrian Scribe
CRN405,#1,XIIII,XIIII,Roman Numerals Scribe
CRN406,#1-3,Edmundus fratres a dimidio,Edmund [his] half brother.,Lancastrian Scribe
CRN407,#1,Eadwinus,Eadwig,Lancastrian Scribe
CRN408,#1,Edgarus,Edgar,Lancastrian Scribe
CRN409,#2-3,Edredus frater ejus ,Eadred his brother ,Lancastrian Scribe
CRN409,#1,X,X,Roman Numerals Scribe
CRN410,#1,Edwyn ,Edwyn ,Lancastrian Scribe
CRN411,#2 ,Edgarus ,Edgar ,Lancastrian Scribe
CRN411,#1,XVI,XVI,Roman Numerals Scribe
CRN412,#1-2,Sancta Editha,Saint Edith,Lancastrian Scribe
CRN414,#1,Edwardus martyr ,Edward the Martyr ,Lancastrian Scribe
CRN415,#1,Alredus frater Edwardi,Æthelred brother of Edward,Lancastrian Scribe
CRN416,#1,Alfredus,Alfred,Lancastrian Scribe
CRN417,#1-2,Eadem Emma,The same Emma,Lancastrian Scribe
CRN418,#1-2,Edmundus Irenside,Edmund Ironside,Lancastrian Scribe
CRN419,#1-3,Idem Edmundus Irenside,The same Edmund Ironside,Lancastrian Scribe
CRN420,#1-2,Edwydus exul,Edward the Ele,Lancastrian Scribe
CRN422,#1-3,Edgarus Ethelyng,Edgar Ætheling,Lancastrian Scribe
CRN423,#1-2,Margareta regina Scotie,Margaret queen of Scotland,Lancastrian Scribe
CRN424,#1-3,Cristina sanctimonalis,Christina the nun,Lancastrian Scribe
CRN425,#1-3,Matilda filia ejus,Matilda her daughter,Lancastrian Scribe
CRN426,#1-3,Margareta filia matilda [sic: Agatha],Margaret daughter of Matilda [sic: Agatha],Lancastrian Scribe
CRN427,#1-3,Matilda filia ejus,Matilda her daughter,Lancastrian Scribe
CRN428,#1,Knutus,Cnut,Lancastrian Scribe
CRN429,#1,Emma,Emma,Lancastrian Scribe
CRN430,#1-2,Sweyn danus,Sweyn the Dane,Lancastrian Scribe
CRN431,#1-2,Haraldus hareforth,Harold Harefoot,Lancastrian Scribe
CRN432,#1-2,Hardeknutus frater,Harthacnut [his] brother,Lancastrian Scribe
CRN433,#1-3,Sanctus Edwardus Confessor,Saint Edward the Confessor,Lancastrian Scribe
CRN434,#1-2,Haraldus  mensibus,Harold [reigned]  months,Lancastrian Scribe
CRN435,#2,Willelmus Conquestor ,William the Conqueror ,Lancastrian Scribe
CRN435,#1,XXI,XXI,Roman Numerals Scribe
CRN436,#1-2,Quatuor alie filie,Four other sons,Lancastrian Scribe
CRN437,#1-3,Adala uxor comitis Blesensis,Adela wife of the Count of Blois,Lancastrian Scribe
CRN438,#1-2,Stephanus,Stephen,Lancastrian Scribe
CRN439,#1-2,Henricus clericus,Henry the Cleric,Lancastrian Scribe
CRN440,#1-3,Ricardus quobitt juvenis,Richard who died young,Lancastrian Scribe
CRN441,#2,Willelmus Rufus ,William Rufus ,Lancastrian Scribe
CRN442,#1-3,Robertus courthuse,Robert Curthose,Lancastrian Scribe
CRN443,#2-3,Henricus primus ,Henry ,Lancastrian Scribe
CRN443,#1,XXXV,XXXV,Roman Numerals Scribe
CRN444,#1-2,Matilda imperatrix,Matilda the Empress,Lancastrian Scribe
CRN445,#1-3,Una filia submersa,One daughter drowned,Lancastrian Scribe
CRN446,#1-2,Willelmus submersus,William drowned,Lancastrian Scribe
CRN447,#1-2,Robertus submersus,Robert drowned,Lancastrian Scribe
CRN448,#2-3,Idem Stephanus Blesensis ,The same Stephen of Blois ,Lancastrian Scribe
CRN448,#1,XIX,XIX,Roman Numerals Scribe
CRN449,#2-3,Henricus Secondus ,Henry II,Lancastrian Scribe
CRN449,#1,XXXV,XXXV,Roman Numerals Scribe
CRN450,#1-3,Comitissa tholose,The Countess of Toulouse,Lancastrian Scribe
CRN451,#1-3,Elenora regina castelle,Eleanor queen of Castile,Lancastrian Scribe
CRN452,#1,Johannes,John,Lancastrian Scribe
CRN453,#1-4,Matilda ducissa Saxonis et Sardis,Matilda duchess of Saxony and Sardis,Lancastrian Scribe
CRN454,#1-3,Henricus duSaxonie,Henry duke of Saxony,Lancastrian Scribe
CRN455,#1-2,Octes Imperator,Otto the Emperor,Lancastrian Scribe
CRN456,#1-3,Galfridus duBritannie,Geoffrey duke of Brittany,Lancastrian Scribe
CRN457,#1-3,Arthurus duBrittannie,Arthur duke of Brittany,Lancastrian Scribe
CRN458,#1-4,Ricardus primus ,Richard ,Lancastrian Scribe
CRN458,#1,X,X,Roman Numerals Scribe
CRN459,#1-3,Henricus junior elegans,Elegant Henry the Younger,Lancastrian Scribe
CRN460,#1-3,Willelmus qustatim obiit,William who died immediately,Lancastrian Scribe
CRN461,#2,Johannes ,John ,Lancastrian Scribe
CRN461,#1,XVII,XVII,Roman Numerals Scribe
CRN462,#1-3,Johanna regina Scotie,Joan queen of Scotland,Lancastrian Scribe
CRN463,#1-3,Elienora comitessa Pembroche,Eleanor countess of Pembroke,Lancastrian Scribe
CRN464,#1-4,Isabella imperatriuxor Frederici,Empress Isabella wife of Frederick [II],Lancastrian Scribe
CRN465,#1-3,Ricardus realmanie,Richard king of Germany,Lancastrian Scribe
CRN466,#1-3,Edmundus duCornubie,Edmund duke of Cornwall,Lancastrian Scribe
CRN467,#1-3,Henricus de almania,Henry of Germany,Lancastrian Scribe
CRN468,#2-3,Henricus tertius ,Henry ,Lancastrian Scribe
CRN468,#1,LVII,LVII,Roman Numerals Scribe
CRN469,#1-3,Henricus qujacet Westmonastri,Henry who lies at Westminster,Lancastrian Scribe
CRN470,#1-3,Willelmus qusepultusest in templo,William who is buried in the Temple,Lancastrian Scribe
CRN471,#1-3,Johannes qujacet Westmonastri,John who lies at Westminster,Lancastrian Scribe
CRN472,#1-3,Ricardus quapud Westmonastri,Richard who is [buried] at Westminster,Lancastrian Scribe
CRN473,#1-3,Katrina que cito abiit,Katherine who died before long,Lancastrian Scribe
CRN474,#1,Beatrix,Beatrix,Lancastrian Scribe
CRN475,#1,Edmundus,Edmund,Lancastrian Scribe
CRN476,#1-2,Margareta,Margaret,Lancastrian Scribe
CRN477,#2-3,Edwardus primus ,Edward ,Lancastrian Scribe
CRN477,#1,XXXIIII,XXXIIII,Roman Numerals Scribe
CRN478,#1-3,Margareta secunda uxor,Margaret [his] second wife,Lancastrian Scribe
CRN479,#1,Elenora,Eleanor,Lancastrian Scribe
CRN480,#1-4,Edmundus comes kantie,Edmund Earof Kent,Lancastrian Scribe
CRN481,#1-4,Thomas comes Manchallie,Thomas EarMarshal,Lancastrian Scribe
CRN482,#1-3,Eleanora prima uxor,Eleanor [his] first wife,Lancastrian Scribe
CRN483,#1-3,Eleanora comitissa de Barr[illegible],Eleanor countess of,Lancastrian Scribe
CRN484,#1-3,Johanna comitissa de gloucester,Joan countess of Gloucester,Lancastrian Scribe
CRN485,#1,Johanna,Joan,Lancastrian Scribe
CRN486,#1,Henricus,Henry,Lancastrian Scribe
CRN487,#1-3,Margareta ducissa brabantie,Margaret duchess of Brabant,Lancastrian Scribe
CRN488,#1,Margareta,Margaret,Lancastrian Scribe
CRN489,#1-3,Elizabeth comitissa de Herford,Elizabeth countess of Hereford,Lancastrian Scribe
CRN490,#1-4,Maria monacha de Amisbery,Maria a nun of Amesbury,Lancastrian Scribe
CRN491,#1-3,Elizabeth comitissa de Honiland,Elizabeth countess of Holland,Lancastrian Scribe
CRN492,#2-3,Edwardus karnavian,Edward of Caernafon,Lancastrian Scribe
CRN492,#1,XX,XX,Roman Numerals Scribe
CRN493,#1,Henricus,Henry,Lancastrian Scribe
CRN494,#1,Beatrix,Beatrix,Lancastrian Scribe
CRN495,#1,Blanchia,Blanche,Lancastrian Scribe
CRN496,#1-4,Elienora comitissa de goldara,Eleanor countess of Guelders,Lancastrian Scribe
CRN497,#1-4,Johanna regina Scotie,Joan queen of Scotland,Lancastrian Scribe
CRN498,#1-4,Johannes otham comes cornubie,John of Eltham earl of Cornwall,Lancastrian Scribe
CRN499,#2-3,Edwardus tertius ,Edward IIII,Lancastrian Scribe
CRN499,#1,LII [sic: L],LII [sic: L],Roman Numerals Scribe
CRN500,#3,Edwardus princeps Wallie,Edward prince of Wales,Lancastrian Scribe
CRN501,#1,Edwardus,Edward,Lancastrian Scribe
CRN502,#2-3,Ricardus Secundus,Richard II,Lancastrian Scribe
CRN502,#1,XXIII,XXIII,Roman Numerals Scribe
CRN503,#1-3,Isabella comitissa de Bedford,Isabella countess of Bedford,Lancastrian Scribe
CRN504,#1-3,Johanna regina hispanie,Joan queen of Spain,Lancastrian Scribe
CRN505,#1-2,Williamus Hatfeld,William of Hatfield,Lancastrian Scribe
CRN506,#1-3,Leoneduclarencie,Lioneduke of Clarence,Lancastrian Scribe
CRN507,#1-4,Philippa nupta comiti March,Philippa married to the earl of March,Yorkist Scribe
CRN508,#1-3,Johannes dux Lancastrie,John duke of Lancaster,Lancastrian Scribe
CRN509,#1-3,Domina Blanche,Lady Blanche,Lancastrian Scribe
CRN510,#1,Johannes,John,Lancastrian Scribe
CRN511,#1-2,Edwardus,Edward,Lancastrian Scribe
CRN512,#1-3,Philippa regina portyngalie,Philippa queen of Portugal,Lancastrian Scribe
CRN513,#1,Edwardus,Edward,Lancastrian Scribe
CRN514,#1,Petrus,Peter,Lancastrian Scribe
CRN515,#1,Henricus,Henry,Lancastrian Scribe
CRN516,#1-2,Alexandir,Alexander,Lancastrian Scribe
CRN517,0,[BLANK],[BLANK],Lancastrian Scribe
CRN518,#1-3,Elizabeth comitissa huntyngdon,Elizabeth countess of Huntingdon,Lancastrian Scribe
CRN519,#2-3,Henricus quartus ,Henry IV,Lancastrian Scribe
CRN519,#1,XIIII,XIIII,Roman Numerals Scribe
CRN520,#1 ,Johannes,John,Lancastrian Scribe
CRN521,#1-2,Constantia 2m uxor,Constance [his] second wife,Lancastrian Scribe
CRN522,#1-3,Katrina regina hispanie,Katherine queen of Spain,Lancastrian Scribe
CRN523,#1-3,Katrina Sanfordie  a uxor,Katherine Swynford [his] third wife,Lancastrian Scribe
CRN525,#1-2,Comes somersed,Count of Somerset,Lancastrian Scribe
CRN526,#1,Thomas,Thomas,Lancastrian Scribe
CRN527,#1-3,Johannes comes somersed,John earof Somerset,Lancastrian Scribe
CRN528,#1-4,Edmundus comes de morten,Edmund count of Mortain,Lancastrian Scribe
CRN529,#1-3,Johanna regina Scotie,Joan queen of Scotland,Lancastrian Scribe
CRN530,#1-4,Margareta comitissa devonie,Margaret countess of Devon,Lancastrian Scribe
CRN531,#1-4,Johanna comitissa Westmorlandie,Joan countess of Westmoreland,Lancastrian Scribe
CRN532,0,[BLANK],[BLANK],Lancastrian Scribe
CRN533,#1-3,Ricardus comes sarum,Richard earof Salisbury,Lancastrian Scribe
CRN534,#1-3,Robertus episcopus Sarum,Robert bishop of Salisbury,Lancastrian Scribe
CRN535,0,[BLANK],[BLANK],Lancastrian Scribe
CRN536,0,[BLANK],[BLANK],Lancastrian Scribe
CRN537,0,[BLANK],[BLANK],Lancastrian Scribe
CRN538,0,[BLANK],[BLANK],Lancastrian Scribe
CRN539,#1-2,Henricus cardinal,Henry the cardinal,Lancastrian Scribe
CRN540,#1-3,Thomas duexonie,Thomas duke of Exeter,Lancastrian Scribe
CRN541,#1-4,Edmundus dueborac langley,"Edmund of Langley, duke of York",Lancastrian Scribe
CRN541,#4,langley,Langley,Yorkist Scribe
CRN542,#1-3,Edwardus dueboraci,Edward duke of York,Lancastrian Scribe
CRN543,#1-4,Ricardus comes cantabrigie,Richard earof Cambridge,Lancastrian Scribe
CRN544,#1-4,Domina Matilda de clyfford 2m uxor,Lady Matilda of Clifford [his] second wife,Lancastrian Scribe
CRN545,0,[BLANK],[BLANK],Lancastrian Scribe
CRN546,#1-4,Ricardus dux eboraci [substitute est] et comes merchall,Richard duke of York [substituted as] earl of March,Lancastrian Scribe
CRN547,#1,Blanchia,Blanche,Lancastrian Scribe
CRN548,#1-4,Maria ducissa de britannie,Mary duchess of Brittany,Lancastrian Scribe
CRN549,#1-3,Margareta comitissa pembrochie,Margaret countess of Pembroke,Lancastrian Scribe
CRN550,#1-3,Willelmus Wyndesore,William of Windsor,Lancastrian Scribe
CRN551,#1-3,Thomas dux gloucestrie,Thomas duke of Gloucester,Lancastrian Scribe
CRN552,#1-3,Anna comitissa Staffordie,Anne countess of Stafford,Lancastrian Scribe
CRN553,#1,Philippa,Philippa,Lancastrian Scribe
CRN554,#1-2,Comes Stafford,Earof Stafford,Lancastrian Scribe
CRN555,#1-3,Anna comitissa huntyngdon,Anne countess of Huntingdon,Lancastrian Scribe
CRN556,#1-3,Henricus comes de Essex,Henry earof Essex,Lancastrian Scribe
CRN557,#1,Williamus,William,Lancastrian Scribe
CRN558,#1,Thomas,Thomas,Lancastrian Scribe
CRN559,#1,Johannes,John,Lancastrian Scribe
CRN560,#1,Anna,Anne,Lancastrian Scribe
CRN561,#1-2,Margareta,Margaret,Lancastrian Scribe
CRN562,#1-3,Thomas duclarenchie,Thomas duke of Clarence,Lancastrian Scribe
CRN563,#1-3,Johannes dubedfordie,John duke of Bedford,Lancastrian Scribe
CRN564,#1-3,Humfridus dugloucestrie,Humphrey duke of Gloucester,Lancastrian Scribe
CRN565,#1-3,Blanchia imperatrix,The Empress Blanche,Lancastrian Scribe
CRN566,#1-3,Philippa regina denmarchie,Philippa queen of Denmark,Lancastrian Scribe
CRN567,#1-4,Henricus quintus ,Henry ,Lancastrian Scribe
CRN567,#1,X,X,Roman Numerals Scribe
CRN568,#1,XXXIX,XXXIX,Roman Numerals Scribe
CRN568,#1-3,Henricus sextus,Henry VI,Yorkist Scribe
CRN569,#1-2,Hugo mortymer,Hugh de Mortimer,Yorkist Scribe
CRN571,#1-2,Radulphus mortymer,Ralph de Mortimer,Yorkist Scribe
CRN572,#1-2,Rogerus mortymer,Roger de Mortimer,Yorkist Scribe
CRN572,#1-2,Rogerus mortymer,Roger Mortimer,Yorkist Scribe
CRN573,#1-2,Edmundus mortymer,Edmund Mortimer,Yorkist Scribe
CRN574,#1-3,Rogerus primus comes marchie,Roger first earof March,Yorkist Scribe
CRN575,#1-3,Edmundus comes marchie,Edmund earof March,Yorkist Scribe
CRN576,#1-3,Rogerus comes marchie,Roger earof March,Yorkist Scribe
CRN577,#1-3,Edmundus comes marchie [CRC: nupta Philippa],Edmund earof March [CRC: married to Philippa],Yorkist Scribe
CRN578,#1-5,Aliciam [sic: Elizabeth] nupta comiti northumberlande,Elizabeth [who] married the earl of Northumberland,Yorkist Scribe
CRN579,#1-3,Rogerus comes march,Roger earof March,Yorkist Scribe
CRN580,#1-6,Rogerum secundum filium qudecesessit [sic: decessit] sine herede ante dictum Edmundum fratem suum,Roger the second son who died without heir before the named Edmund his brother,Yorkist Scribe
CRN581,#1-4,Edmundus comes march sine hered,Edmund earof March without heir,Yorkist Scribe
CRN582,#1-4,Anna nuptcomitcantabrigie,Anne [who] married the earof Cambridge,Yorkist Scribe
CRN583,#1-3,Elizabeth nupta domino Burghchier,Elizabeth married lord Burghchier,Yorkist Scribe
CRN584,#1-5,Ricardum ducem ebor heredom regnanglie francie et hispanie,Richard duke of York heir of the kingdoms of England France and Spain,Yorkist Scribe
CRN585,#1-4,Cecilia uxor istius Ricardducis Eboraci,Cecily wife of that Richard duke of York,Yorkist Scribe
CRN586,#1-3,Anna ducissa Exoniesis,Anne duchess of Exeter,Yorkist Scribe
CRN587,#1-3,Elizabeth ducissa suthfolchie,Elizabeth duchess of Suffolk,Yorkist Scribe
CRN588,#1-3,Margareta ducissa Burgundie,Margaret duchess of Burgundy,Yorkist Scribe
CRN588,#2-3,ducissa Burgundie,duchess of Burgundy,Margaret of Burgundy Scribe
CRN589,#1-3,Edwardum Quartum,Edward IV,Yorkist Scribe
CRN589,#3,XXIII,XXIII,Margaret of Burgundy Scribe
CRN590,#1-3,Edmundus comes rothlandi,Edmund earof Rutland,Yorkist Scribe
CRN591,#1-3,Georgius duclarentie,George duke of Clarence,Yorkist Scribe
CRN592,#1-3,Ricardus ducem Gloucestrie,Richard duke of Gloucester,Yorkist Scribe
CRN593,#1-6,Alicia [sic: Eleanora] que erat maritata Edwardo domino de Bonis [sic: Edward de Courtenay] qudecessit sine herede de corpore sui,Eleanor who was married to lord Edward de Bonis [sic: Edward de Courtenay] who died without heir of his body,Yorkist Scribe
CRN594,#1-2,Comes Ultonie,Earof Ulster,Yorkist Scribe
CRN595,#1-3,Anna heredem Ultonie,Anne heir of Ulster,Yorkist Scribe
CRN596,#1-3,Repetrus hispanie,Peter king of Spain,Yorkist Scribe
CRN597,#1-2,Constantia prima filia,Constance [his] first daughter,Yorkist Scribe
CRN598,#1-3,Isabella heredem hispanie,Isabella heir of Spain,Yorkist Scribe
CRN599,#1-3,Sanctus Ludovicus,Saint Louis,Lancastrian Scribe
CRN600,#1-2,Philippus ejus filius,Philip his son,Lancastrian Scribe
CRN601,#1-2,Philippus pulcher,Philip the Fair,Lancastrian Scribe
CRN602,#1-2,Lodovicus hutyn,Louis the Headstrong,Lancastrian Scribe
CRN603,#1-2,Johannes posthumous,John the Posthumous,Lancastrian Scribe
CRN604,#1-2,Idem philippus,The same Philip,Lancastrian Scribe
CRN605,#1-2,Idem karolus,Charles,Lancastrian Scribe
CRN606,#1-2,Idem Johannes,The same John,Lancastrian Scribe
CRN607,#1-2,Philippus longue,Philip the Tall,Lancastrian Scribe
CRN608,#1-2,Karolus pulcher,Charles the Fair,Lancastrian Scribe
CRN609,#1-2,Isabella,Isabella,Lancastrian Scribe
CRN610,#1-2,Karolus de valoys,Charles of Valois,Lancastrian Scribe
CRN611,#1,Johannes,John,Lancastrian Scribe
CRN612,#1-4,Rollo quet Robertus dictus est post baptismum,Rollo who was called Robert after baptism,Lancastrian Scribe
CRN613,#1-3,Williamus longa sparta,William Longsword,Lancastrian Scribe
CRN614,#1-2,Ricardus sine timore,Richard the Fearless,Lancastrian Scribe
CRN615,#1 ,Emma,Emma,Lancastrian Scribe
CRN616,#1-2,Eadem Emma,The same Emma,Lancastrian Scribe
CRN617,#1-2,Ricardus secondus,Richard II,Lancastrian Scribe
CRN618,#1-2,Ricardus tertius,Richard III,Lancastrian Scribe
CRN619,#1-2,Frater Robertus,[His] brother Robert,Lancastrian Scribe
CRN620,#1 ,Ricardus,Richard,Lancastrian Scribe
CRN621,#1-2,Idem Robertus,The same Robert,Lancastrian Scribe
CRN622,#1-2,Willelmus nothus,William the Bastard,Lancastrian Scribe
CRN148,#3,40,40,Lancastrian Scribe [Arabic Numerals]
CRN185,#3,10,10,Lancastrian Scribe [Arabic Numerals]
CRN186,#3,40,40,Lancastrian Scribe [Arabic Numerals]
CRN187,#3,20,20,Lancastrian Scribe [Arabic Numerals]
CRN188,#3,60,60,Lancastrian Scribe [Arabic Numerals]
CRN189,#3,12,12,Lancastrian Scribe [Arabic Numerals]
CRN190,#3,25,25,Lancastrian Scribe [Arabic Numerals]
CRN191,#3,39,39,Lancastrian Scribe [Arabic Numerals]
CRN192,#3,26,26,Lancastrian Scribe [Arabic Numerals]
CRN193,#3,60,60,Lancastrian Scribe [Arabic Numerals]
CRN194,#2,3,3,Lancastrian Scribe [Arabic Numerals]
CRN195,#2,2,2,Lancastrian Scribe [Arabic Numerals]
CRN196,#2,5,5,Lancastrian Scribe [Arabic Numerals]
CRN197,#3,3,3,Lancastrian Scribe [Arabic Numerals]
CRN198,#3,35,35,Lancastrian Scribe [Arabic Numerals]
CRN199,#3,19,19,Lancastrian Scribe [Arabic Numerals]
CRN200,#3,7,7,Lancastrian Scribe [Arabic Numerals]
CRN201,#3,15,15,Lancastrian Scribe [Arabic Numerals]
CRN203,#3,9,9,Lancastrian Scribe [Arabic Numerals]
CRN206,#3,40,40,Lancastrian Scribe [Arabic Numerals]
CRN207,#3,5,5,Lancastrian Scribe [Arabic Numerals]
CRN208,#3,24,24,Lancastrian Scribe [Arabic Numerals]
CRN211,#3,15,15,Lancastrian Scribe [Arabic Numerals]
CRN212,#3,11,11,Lancastrian Scribe [Arabic Numerals]
CRN213,#2,15,15,Lancastrian Scribe [Arabic Numerals]
CRN214,#3,10,10,Lancastrian Scribe [Arabic Numerals]
CRN215,#3,7,7,Lancastrian Scribe [Arabic Numerals]
CRN216,#3,10,10,Lancastrian Scribe [Arabic Numerals]
CRN218,#3,7,7,Lancastrian Scribe [Arabic Numerals]
CRN219,#3,7,7,Lancastrian Scribe [Arabic Numerals]
CRN220,#3,11,11,Lancastrian Scribe [Arabic Numerals]
CRN221,#3,21,21,Lancastrian Scribe [Arabic Numerals]
CRN222,#3,6,6,Lancastrian Scribe [Arabic Numerals]
CRN223,#3,7,7,Lancastrian Scribe [Arabic Numerals]
CRN224,#3,9,9,Lancastrian Scribe [Arabic Numerals]
CRN225,#3,3,3,Lancastrian Scribe [Arabic Numerals]
CRN226,#3,8,8,Lancastrian Scribe [Arabic Numerals]
CRN227,#3,11,11,Lancastrian Scribe [Arabic Numerals]
CRN228,#3,2,2,Lancastrian Scribe [Arabic Numerals]
CRN230,#2,11,11,Lancastrian Scribe [Arabic Numerals]
CRN231,#2,19,19,Lancastrian Scribe [Arabic Numerals]
CRN232,#3,6,6,Lancastrian Scribe [Arabic Numerals]
CRN233,#3,50,50,Lancastrian Scribe [Arabic Numerals]
CRN234,#3,40,40,Lancastrian Scribe [Arabic Numerals]
CRN235,#3,12,12,Lancastrian Scribe [Arabic Numerals]
CRN236,#3,10,10,Lancastrian Scribe [Arabic Numerals]
CRN237,#3,7,7,Lancastrian Scribe [Arabic Numerals]
CRN238,#3,5,5,Lancastrian Scribe [Arabic Numerals]
CRN239,#2,1,1,Lancastrian Scribe [Arabic Numerals]
CRN240,#3,11,11,Lancastrian Scribe [Arabic Numerals]
CRN241,#3,19,19,Lancastrian Scribe [Arabic Numerals]
CRN242,#3,13,13,Lancastrian Scribe [Arabic Numerals]
CRN243,#2,2,2,Lancastrian Scribe [Arabic Numerals]
CRN244,#3,15,15,Lancastrian Scribe [Arabic Numerals]
CRN245,#3,25,25,Lancastrian Scribe [Arabic Numerals]
CRN246,#3,7,7,Lancastrian Scribe [Arabic Numerals]
CRN248,[1] #2; [2] #4,[1] 29; [2] 14,[1] 29; [2] 14,Lancastrian Scribe [Arabic Numerals]
CRN249,#3,2,12,Lancastrian Scribe [Arabic Numerals]
CRN250,#3,8,8,Lancastrian Scribe [Arabic Numerals]
CRN251,#3,28,28,Lancastrian Scribe [Arabic Numerals]
CRN253,#2,21,21,Lancastrian Scribe [Arabic Numerals]
CRN255,#3,12,12,Lancastrian Scribe [Arabic Numerals]
CRN256,#3,23,23,Lancastrian Scribe [Arabic Numerals]
CRN257,#3,10,10,Lancastrian Scribe [Arabic Numerals]
CRN258,#3,13,13,Lancastrian Scribe [Arabic Numerals]
CRN259,#2,11,11,Lancastrian Scribe [Arabic Numerals]
CRN260,#3,9,29,Lancastrian Scribe [Arabic Numerals]
CRN261,#3,40,40,Lancastrian Scribe [Arabic Numerals]
CRN262,#3,67,67,Lancastrian Scribe [Arabic Numerals]
CRN264,#3,12,12,Lancastrian Scribe [Arabic Numerals]
CRN266,#3,7,7,Lancastrian Scribe [Arabic Numerals]
CRN267,#3,3,3,Lancastrian Scribe [Arabic Numerals]
CRN268,#3,10,10,Lancastrian Scribe [Arabic Numerals]
CRN269,#3,30,30,Lancastrian Scribe [Arabic Numerals]
